test/loss,test/Accuracy,test/BalancedAccuracy
1.8829193115234375,0.7598731517791748,0.7312078475952148
1.3170512914657593,0.8008071780204773,0.7815704345703125
1.1274175643920898,0.8160853385925293,0.7958810329437256
0.9531535506248474,0.8284808397293091,0.8088676929473877
0.9332522749900818,0.8281925916671753,0.8037769794464111
0.8712525367736816,0.82040935754776,0.7944135665893555
0.7760767936706543,0.8394349813461304,0.8155995011329651
0.8126993179321289,0.8365523219108582,0.8151941299438477
0.8032518625259399,0.8379936814308167,0.8163584470748901
0.8166159987449646,0.8388584852218628,0.8170984983444214
0.7996591329574585,0.8359757661819458,0.8124326467514038
