test/loss,test/Accuracy,test/BalancedAccuracy
1.5960776805877686,0.7235514521598816,0.6970794796943665
1.598120927810669,0.7229748964309692,0.6965948343276978
1.6006087064743042,0.7221100926399231,0.6980305314064026
1.6025080680847168,0.7238397002220154,0.6997963190078735
1.600661277770996,0.7221100926399231,0.6969782114028931
1.6042847633361816,0.7215335965156555,0.6962893009185791
1.606741189956665,0.7209570407867432,0.6955302953720093
1.5992571115493774,0.7235514521598816,0.7004237174987793
1.6005678176879883,0.7206687927246094,0.6963837742805481
1.6028121709823608,0.7206687927246094,0.6956259608268738
1.6034425497055054,0.7226866483688354,0.6974029541015625
