test/Accuracy,test/BalancedAccuracy
0.8054194450378418,0.7847325801849365
0.8111847639083862,0.7918132543563843
0.8091669082641602,0.7890017032623291
0.8074373006820679,0.7871080636978149
0.8103199601173401,0.7894671559333801
0.8080138564109802,0.787757396697998
0.809455156326294,0.7895165681838989
0.8100317120552063,0.7894832491874695
0.8085903525352478,0.7890757918357849
0.8065724968910217,0.7865399122238159
0.8068607449531555,0.7857000231742859
0.8054194450378418,0.7853596210479736
0.8059959411621094,0.7857992649078369
0.8108965158462524,0.7902591228485107
0.8065724968910217,0.7870007753372192
0.8059959411621094,0.7860946655273438
0.8091669082641602,0.7881138324737549
0.8077255487442017,0.7875657677650452
0.8059959411621094,0.7855875492095947
0.8054194450378418,0.7853227257728577
0.8065724968910217,0.7876355648040771
