test/loss,test/Accuracy,test/BalancedAccuracy
1.6005440950393677,0.7503603100776672,0.7179221510887146
0.9120352864265442,0.8420293927192688,0.8297637701034546
0.6630055904388428,0.8737388253211975,0.8628133535385132
0.5394946336746216,0.8846929669380188,0.8711351156234741
0.4693948030471802,0.8944941163063049,0.8816409111022949
0.4243120849132538,0.9017007946968079,0.8881291151046753
0.39553314447402954,0.9083309173583984,0.8944800496101379
0.378286749124527,0.9103488326072693,0.8975446820259094
0.35845375061035156,0.9135197401046753,0.8998246192932129
0.35227519273757935,0.9155375957489014,0.9018122553825378
0.3442988991737366,0.9181320071220398,0.9045559167861938
