test/Accuracy,test/BalancedAccuracy
0.7953300476074219,0.7755696177482605
0.7970596551895142,0.7778234481811523
0.7941769957542419,0.7736777663230896
0.7947535514831543,0.7752856016159058
0.7999423742294312,0.7809281349182129
0.7959066033363342,0.7754042744636536
0.7953300476074219,0.774040937423706
0.7959066033363342,0.7755991816520691
0.7964831590652466,0.7755337953567505
0.7941769957542419,0.7742090225219727
0.7959066033363342,0.7764847278594971
0.7973479628562927,0.7770870923995972
0.7964831590652466,0.7758030295372009
0.7959066033363342,0.7764289379119873
0.7950417995452881,0.7763581275939941
0.799077570438385,0.780343770980835
0.7987892627716064,0.777575671672821
0.7950417995452881,0.7742767930030823
0.7956183552742004,0.7748926281929016
0.7970596551895142,0.7765408754348755
0.7947535514831543,0.7739576101303101
0.7956183552742004,0.7748947143554688
0.7987892627716064,0.7792906165122986
0.7976362109184265,0.7769108414649963
0.7956183552742004,0.7753035426139832
0.7976362109184265,0.7769147157669067
0.7964831590652466,0.7754744291305542
0.7956183552742004,0.7753692269325256
0.796194851398468,0.7768006324768066
0.7953300476074219,0.774472713470459
0.7956183552742004,0.7744288444519043
0.7941769957542419,0.7720929980278015
0.7964831590652466,0.776547372341156
