test/loss,test/Accuracy,test/BalancedAccuracy
1.3143712282180786,0.7613145112991333,0.7405739426612854
1.313010573387146,0.7590083479881287,0.7366417646408081
1.3078497648239136,0.762755811214447,0.7396795153617859
1.3113117218017578,0.7624675631523132,0.7401591539382935
1.3141999244689941,0.7578552961349487,0.7347056865692139
1.308795690536499,0.7636206150054932,0.7411469221115112
1.3107266426086426,0.759584903717041,0.7394561171531677
1.3065136671066284,0.7604497075080872,0.7412965893745422
1.3072724342346191,0.762755811214447,0.7414857745170593
1.3159101009368896,0.7633323669433594,0.7411696314811707
1.3124171495437622,0.7584318518638611,0.7354112863540649
1.3106101751327515,0.7613145112991333,0.7387816309928894
1.3068145513534546,0.7665033340454102,0.7447910308837891
1.3103457689285278,0.7604497075080872,0.7378853559494019
1.3106266260147095,0.7569904923439026,0.7352438569068909
1.3076926469802856,0.7633323669433594,0.7388386130332947
1.3089216947555542,0.7598731517791748,0.7367206811904907
1.3117358684539795,0.762755811214447,0.7391301393508911
1.3083796501159668,0.7584318518638611,0.7360084056854248
1.3124749660491943,0.7618910074234009,0.741101861000061
1.3123893737792969,0.7610262036323547,0.7414954900741577
1.3091559410095215,0.7618910074234009,0.741856575012207
1.3083657026290894,0.762755811214447,0.7402185201644897
1.3136310577392578,0.7578552961349487,0.7366160750389099
1.306383728981018,0.7644854187965393,0.7438846230506897
1.313025712966919,0.7621793150901794,0.738777220249176
1.3118678331375122,0.7604497075080872,0.737713098526001
1.3081852197647095,0.7604497075080872,0.7373959422111511
1.3089268207550049,0.7630441188812256,0.7398653626441956
1.3086590766906738,0.759584903717041,0.7361533045768738
1.3105076551437378,0.7624675631523132,0.7394756078720093
1.3074822425842285,0.7650619745254517,0.7397168874740601
